date,cases,deaths
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,2,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,3,0.0
2020-04-16,3,0.0
2020-04-17,3,0.0
2020-04-18,3,1.0
2020-04-19,3,1.0
2020-04-20,3,1.0
2020-04-21,3,1.0
2020-04-22,3,1.0
2020-04-23,3,1.0
2020-04-24,3,1.0
2020-04-25,3,1.0
2020-04-26,3,1.0
2020-04-27,3,1.0
2020-04-28,3,1.0
2020-04-29,3,1.0
2020-04-30,3,1.0
2020-05-01,3,1.0
2020-05-02,3,1.0
2020-05-03,3,1.0
2020-05-04,3,1.0
2020-05-05,3,1.0
2020-05-06,3,1.0
2020-05-07,3,1.0
2020-05-08,3,1.0
2020-05-09,3,1.0
2020-05-10,3,1.0
2020-05-11,3,1.0
2020-05-12,3,1.0
2020-05-13,3,1.0
2020-05-14,3,1.0
2020-05-15,3,1.0
2020-05-16,3,1.0
2020-05-17,3,1.0
2020-05-18,3,1.0
2020-05-19,3,1.0
2020-05-20,3,1.0
2020-05-21,3,1.0
2020-05-22,3,1.0
2020-05-23,3,1.0
2020-05-24,3,1.0
2020-05-25,3,1.0
2020-05-26,3,1.0
2020-05-27,3,1.0
2020-05-28,3,1.0
2020-05-29,3,1.0
2020-05-30,4,1.0
2020-05-31,4,1.0
2020-06-01,4,1.0
2020-06-02,4,1.0
2020-06-03,6,1.0
2020-06-04,5,1.0
2020-06-05,5,1.0
2020-06-06,5,1.0
2020-06-07,5,1.0
2020-06-08,5,1.0
2020-06-09,6,1.0
2020-06-10,7,1.0
2020-06-11,9,1.0
2020-06-12,9,1.0
2020-06-13,9,1.0
2020-06-14,9,1.0
2020-06-15,9,1.0
2020-06-16,9,1.0
2020-06-17,9,1.0
2020-06-18,9,1.0
2020-06-19,9,1.0
2020-06-20,9,1.0
2020-06-21,9,1.0
2020-06-22,10,1.0
2020-06-23,10,1.0
2020-06-24,10,1.0
2020-06-25,10,1.0
2020-06-26,12,1.0
2020-06-27,12,1.0
2020-06-28,13,1.0
2020-06-29,13,1.0
2020-06-30,13,1.0
2020-07-01,16,1.0
2020-07-02,17,1.0
2020-07-03,17,1.0
2020-07-04,23,1.0
2020-07-05,24,1.0
2020-07-06,24,1.0
2020-07-07,31,1.0
2020-07-08,35,1.0
2020-07-09,44,1.0
2020-07-10,44,1.0
2020-07-11,49,1.0
2020-07-12,49,1.0
2020-07-13,53,1.0
2020-07-14,53,1.0
