date,cases,deaths
2020-03-19,3,1
2020-03-20,7,1
2020-03-21,11,1
2020-03-22,13,1
2020-03-23,14,1
2020-03-24,16,1
2020-03-25,20,1
2020-03-26,22,1
2020-03-27,30,3
2020-03-28,33,3
2020-03-29,34,3
2020-03-30,36,3
2020-03-31,43,5
2020-04-01,46,5
2020-04-02,47,5
2020-04-03,50,5
2020-04-04,53,6
2020-04-05,56,6
2020-04-06,62,6
2020-04-07,66,9
2020-04-08,70,11
2020-04-09,71,9
2020-04-10,71,12
2020-04-11,72,12
2020-04-12,72,9
2020-04-13,72,9
2020-04-14,73,9
2020-04-15,77,9
2020-04-16,77,9
2020-04-17,78,9
2020-04-18,79,9
2020-04-19,79,9
2020-04-20,80,9
2020-04-21,80,9
2020-04-22,80,9
2020-04-23,80,9
2020-04-24,80,9
2020-04-25,82,9
2020-04-26,85,9
2020-04-27,86,9
2020-04-28,86,9
2020-04-29,86,9
2020-04-30,88,9
2020-05-01,88,9
2020-05-02,89,9
2020-05-03,92,9
2020-05-04,94,9
2020-05-05,95,9
2020-05-06,95,9
2020-05-07,99,9
2020-05-08,101,9
2020-05-09,104,9
2020-05-10,105,9
2020-05-11,107,9
2020-05-12,107,10
2020-05-13,110,10
2020-05-14,113,10
2020-05-15,119,10
2020-05-16,120,11
2020-05-17,122,11
2020-05-18,122,11
2020-05-19,125,11
2020-05-20,130,11
2020-05-21,131,11
2020-05-22,133,11
2020-05-23,134,11
2020-05-24,137,11
2020-05-25,138,11
2020-05-26,138,11
2020-05-27,144,11
2020-05-28,156,11
2020-05-29,159,11
2020-05-30,160,11
2020-05-31,174,14
2020-06-01,175,14
2020-06-02,178,14
2020-06-03,181,14
2020-06-04,184,14
2020-06-05,188,14
2020-06-06,190,14
2020-06-07,192,14
2020-06-08,193,14
2020-06-09,193,14
2020-06-10,195,14
2020-06-11,197,14
2020-06-12,198,15
2020-06-13,202,15
2020-06-14,203,15
2020-06-15,206,15
2020-06-16,207,15
2020-06-17,208,15
2020-06-18,209,15
2020-06-19,211,15
2020-06-20,213,15
2020-06-21,215,15
2020-06-22,214,15
2020-06-23,216,15
2020-06-24,218,16
2020-06-25,219,16
2020-06-26,222,16
2020-06-27,222,16
2020-06-28,222,16
2020-06-29,237,16
2020-06-30,245,16
2020-07-01,247,16
2020-07-02,251,16
2020-07-03,251,16
2020-07-04,253,16
2020-07-05,260,16
