date,cases,deaths
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,3,0.0
2020-03-20,3,0.0
2020-03-21,4,0.0
2020-03-22,4,0.0
2020-03-23,5,0.0
2020-03-24,5,0.0
2020-03-25,7,0.0
2020-03-26,8,0.0
2020-03-27,9,0.0
2020-03-28,16,0.0
2020-03-29,17,0.0
2020-03-30,21,0.0
2020-03-31,26,0.0
2020-04-01,28,0.0
2020-04-02,35,0.0
2020-04-03,41,1.0
2020-04-04,48,1.0
2020-04-05,54,1.0
2020-04-06,57,2.0
2020-04-07,66,2.0
2020-04-08,77,2.0
2020-04-09,84,2.0
2020-04-10,100,3.0
2020-04-11,105,3.0
2020-04-12,117,4.0
2020-04-13,117,5.0
2020-04-14,135,5.0
2020-04-15,138,6.0
2020-04-16,143,6.0
2020-04-17,157,8.0
2020-04-18,164,8.0
2020-04-19,168,9.0
2020-04-20,239,10.0
2020-04-21,256,10.0
2020-04-22,268,10.0
2020-04-23,288,10.0
2020-04-24,304,10.0
2020-04-25,330,10.0
2020-04-26,345,10.0
2020-04-27,356,10.0
2020-04-28,408,12.0
2020-04-29,418,12.0
2020-04-30,474,12.0
2020-05-01,518,13.0
2020-05-02,533,13.0
2020-05-03,560,13.0
2020-05-04,583,14.0
2020-05-05,665,15.0
2020-05-06,710,15.0
2020-05-07,744,16.0
2020-05-08,794,16.0
2020-05-09,840,16.0
2020-05-10,864,16.0
2020-05-11,887,16.0
2020-05-12,927,17.0
2020-05-13,953,17.0
2020-05-14,1002,17.0
2020-05-15,1103,18.0
2020-05-16,1187,18.0
2020-05-17,1200,18.0
2020-05-18,1224,18.0
2020-05-19,1260,19.0
2020-05-20,1320,20.0
2020-05-21,1371,20.0
2020-05-22,1480,22.0
2020-05-23,1522,22.0
2020-05-24,1598,22.0
2020-05-25,1605,25.0
2020-05-26,1613,25.0
2020-05-27,1800,28.0
2020-05-28,1870,33.0
2020-05-29,1918,35.0
2020-05-30,1980,36.0
2020-05-31,1988,37.0
2020-06-01,2002,40.0
2020-06-02,2036,41.0
2020-06-03,2079,41.0
2020-06-04,2122,44.0
2020-06-05,2174,46.0
2020-06-06,2202,47.0
2020-06-07,2206,47.0
2020-06-08,2213,47.0
2020-06-09,2242,51.0
2020-06-10,2266,51.0
2020-06-11,2280,51.0
2020-06-12,2291,52.0
2020-06-13,2302,54.0
2020-06-14,2305,54.0
2020-06-15,2311,54.0
2020-06-16,2358,55.0
2020-06-17,2367,56.0
2020-06-18,2381,56.0
2020-06-19,2394,57.0
2020-06-20,2407,58.0
2020-06-21,2409,58.0
2020-06-22,2417,58.0
2020-06-23,2434,60.0
2020-06-24,2441,61.0
2020-06-25,2451,61.0
2020-06-26,2471,61.0
2020-06-27,2475,61.0
2020-06-28,2478,61.0
2020-06-29,2488,61.0
2020-06-30,2504,63.0
2020-07-01,2509,63.0
2020-07-02,2520,64.0
2020-07-03,2527,65.0
2020-07-04,2529,65.0
2020-07-05,2550,65.0
2020-07-06,2559,65.0
2020-07-07,2594,65.0
2020-07-08,2613,65.0
2020-07-09,2635,65.0
2020-07-10,2647,65.0
2020-07-11,2667,65.0
2020-07-12,2680,65.0
2020-07-13,2704,65.0
2020-07-14,2746,65.0
2020-07-15,2773,65.0
2020-07-16,2818,66.0
2020-07-17,2874,66.0
2020-07-18,2919,66.0
2020-07-19,2944,66.0
2020-07-20,2994,66.0
2020-07-21,3085,69.0
2020-07-22,3109,69.0
2020-07-23,3164,69.0
2020-07-24,3209,69.0
2020-07-25,3251,72.0
2020-07-26,3276,72.0
2020-07-27,3339,72.0
2020-07-28,3372,73.0
2020-07-29,3399,75.0
2020-07-30,3446,75.0
2020-07-31,3483,77.0
2020-08-01,3579,76.0
2020-08-02,3633,76.0
2020-08-03,3653,76.0
2020-08-04,3715,77.0
2020-08-05,3747,78.0
2020-08-06,3768,78.0
2020-08-07,3863,78.0
2020-08-08,3903,78.0
2020-08-09,3918,78.0
2020-08-10,3939,78.0
2020-08-11,3980,79.0
