date,cases,deaths
2020-03-13,3,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,3,0
2020-03-18,4,0
2020-03-19,6,0
2020-03-20,6,0
2020-03-21,6,0
2020-03-22,6,0
2020-03-23,6,0
2020-03-24,6,0
2020-03-25,7,0
2020-03-26,7,0
2020-03-27,7,0
2020-03-28,8,0
2020-03-29,8,0
2020-03-30,8,0
2020-03-31,11,0
2020-04-01,14,1
2020-04-02,16,1
2020-04-03,20,1
2020-04-04,21,1
2020-04-05,21,1
2020-04-06,21,1
2020-04-07,30,2
2020-04-08,31,2
2020-04-09,31,2
2020-04-10,33,2
2020-04-11,34,2
2020-04-12,34,2
2020-04-13,36,2
2020-04-14,36,2
2020-04-15,37,2
2020-04-16,37,2
2020-04-17,38,2
2020-04-18,39,2
2020-04-19,40,2
2020-04-20,43,2
2020-04-21,43,2
2020-04-22,44,2
2020-04-23,44,2
2020-04-24,45,2
2020-04-25,44,2
2020-04-26,45,2
2020-04-27,46,2
2020-04-28,46,2
2020-04-29,46,2
2020-04-30,47,2
2020-05-01,49,2
2020-05-02,51,2
2020-05-03,52,2
2020-05-04,53,2
2020-05-05,55,2
2020-05-06,59,2
2020-05-07,65,2
2020-05-08,65,2
2020-05-09,65,2
2020-05-10,66,2
2020-05-11,66,2
2020-05-12,66,2
2020-05-13,66,3
2020-05-14,67,3
2020-05-15,68,3
2020-05-16,68,3
2020-05-17,69,3
2020-05-18,69,3
2020-05-19,70,3
2020-05-20,73,3
2020-05-21,76,3
2020-05-22,78,3
2020-05-23,82,3
2020-05-24,82,3
2020-05-25,82,3
2020-05-26,83,3
2020-05-27,83,3
2020-05-28,84,3
2020-05-29,87,3
2020-05-30,88,3
2020-05-31,90,3
2020-06-01,90,3
2020-06-02,95,3
2020-06-03,98,3
2020-06-04,101,3
2020-06-05,105,3
2020-06-06,111,3
2020-06-07,114,3
2020-06-08,114,3
2020-06-09,118,3
2020-06-10,120,4
2020-06-11,129,4
2020-06-12,137,4
2020-06-13,147,4
2020-06-14,157,4
2020-06-15,158,4
2020-06-16,166,4
2020-06-17,171,4
2020-06-18,177,4
2020-06-19,176,4
2020-06-20,179,4
2020-06-21,185,4
2020-06-22,185,4
2020-06-23,186,4
2020-06-24,187,4
2020-06-25,189,4
2020-06-26,190,4
2020-06-27,195,4
2020-06-28,198,4
2020-06-29,201,4
2020-06-30,208,4
2020-07-01,208,4
2020-07-02,214,4
2020-07-03,223,4
2020-07-04,224,4
2020-07-05,229,4
2020-07-06,236,4
2020-07-07,245,4
2020-07-08,255,4
2020-07-09,265,4
2020-07-10,275,4
2020-07-11,283,4
2020-07-12,287,4
2020-07-13,293,4
2020-07-14,312,4
2020-07-15,326,4
2020-07-16,340,4
2020-07-17,368,4
2020-07-18,374,4
2020-07-19,386,4
2020-07-20,398,4
2020-07-21,410,5
2020-07-22,419,5
2020-07-23,433,5
2020-07-24,446,5
2020-07-25,464,5
2020-07-26,473,5
2020-07-27,483,5
2020-07-28,505,5
2020-07-29,558,5
2020-07-30,573,5
2020-07-31,578,5
2020-08-01,586,5
2020-08-02,609,5
2020-08-03,622,5
2020-08-04,636,6
2020-08-05,682,8
2020-08-06,720,9
2020-08-07,733,9
2020-08-08,742,9
2020-08-09,746,9
2020-08-10,753,9
2020-08-11,776,8
2020-08-12,786,8
2020-08-13,804,8
2020-08-14,814,8
2020-08-15,835,8
2020-08-16,842,8
2020-08-17,850,8
2020-08-18,873,8
2020-08-19,893,8
2020-08-20,903,8
2020-08-21,917,8
2020-08-22,929,8
2020-08-23,933,8
2020-08-24,962,8
2020-08-25,972,8
2020-08-26,988,8
2020-08-27,1005,8
2020-08-28,1016,8
2020-08-29,1022,8
2020-08-30,1032,9
2020-08-31,1071,9
2020-09-01,1085,9
2020-09-02,1091,9
2020-09-03,1108,9
2020-09-04,1187,9
2020-09-05,1199,9
2020-09-06,1214,9
2020-09-07,1219,9
2020-09-08,1224,10
2020-09-09,1240,10
2020-09-10,1246,10
2020-09-11,1259,10
2020-09-12,1276,11
2020-09-13,1282,11
2020-09-14,1292,11
2020-09-15,1328,12
2020-09-16,1345,14
2020-09-17,1370,14
2020-09-18,1468,14
2020-09-19,1486,14
2020-09-20,1495,14
2020-09-21,1506,15
2020-09-22,1544,15
2020-09-23,1556,15
2020-09-24,1588,15
2020-09-25,1610,16
2020-09-26,1633,16
2020-09-27,1643,16
2020-09-28,1686,16
2020-09-29,1799,16
2020-09-30,1881,18
