date,cases,deaths
2020-03-17,2,0.0
2020-03-18,3,0.0
2020-03-19,4,0.0
2020-03-20,4,0.0
2020-03-21,5,0.0
2020-03-22,6,0.0
2020-03-23,7,0.0
2020-03-24,8,0.0
2020-03-25,12,0.0
2020-03-26,15,0.0
2020-03-27,18,0.0
2020-03-28,19,0.0
2020-03-29,19,0.0
2020-03-30,20,0.0
2020-03-31,27,0.0
2020-04-01,35,0.0
2020-04-02,37,0.0
2020-04-03,40,0.0
2020-04-04,42,0.0
2020-04-05,44,0.0
2020-04-06,45,0.0
2020-04-07,48,0.0
2020-04-08,44,0.0
2020-04-09,69,0.0
2020-04-10,74,0.0
2020-04-11,77,0.0
2020-04-12,84,0.0
2020-04-13,86,0.0
2020-04-14,86,0.0
2020-04-15,90,1.0
2020-04-16,90,1.0
2020-04-17,93,1.0
2020-04-18,95,1.0
2020-04-19,99,1.0
2020-04-20,100,1.0
2020-04-21,110,1.0
2020-04-22,114,1.0
2020-04-23,117,1.0
2020-04-24,120,1.0
2020-04-25,120,1.0
2020-04-26,125,1.0
2020-04-27,128,1.0
2020-04-28,134,1.0
2020-04-29,139,1.0
2020-04-30,145,1.0
2020-05-01,147,1.0
2020-05-02,151,1.0
2020-05-03,154,1.0
2020-05-04,158,1.0
2020-05-05,162,1.0
2020-05-06,163,1.0
2020-05-07,163,1.0
2020-05-08,163,1.0
2020-05-09,163,1.0
2020-05-10,164,1.0
2020-05-11,166,1.0
2020-05-12,170,1.0
2020-05-13,173,1.0
2020-05-14,173,1.0
2020-05-15,178,1.0
2020-05-16,181,1.0
2020-05-17,181,1.0
2020-05-18,181,2.0
2020-05-19,183,2.0
2020-05-20,182,2.0
2020-05-21,182,2.0
2020-05-22,182,2.0
2020-05-23,182,2.0
2020-05-24,182,2.0
2020-05-25,183,2.0
2020-05-26,183,2.0
2020-05-27,185,2.0
2020-05-28,188,2.0
2020-05-29,188,2.0
2020-05-30,188,2.0
2020-05-31,188,2.0
2020-06-01,188,2.0
2020-06-02,188,2.0
2020-06-03,188,2.0
2020-06-04,188,2.0
2020-06-05,188,2.0
2020-06-06,188,2.0
2020-06-07,188,2.0
2020-06-08,188,2.0
2020-06-09,188,2.0
2020-06-10,188,2.0
2020-06-11,188,2.0
2020-06-12,191,2.0
2020-06-13,195,2.0
2020-06-14,195,2.0
2020-06-15,196,2.0
2020-06-16,196,2.0
2020-06-17,197,2.0
2020-06-18,203,2.0
2020-06-19,204,2.0
2020-06-20,204,2.0
2020-06-21,204,2.0
2020-06-22,211,2.0
2020-06-23,215,2.0
2020-06-24,219,2.0
2020-06-25,225,2.0
2020-06-26,240,2.0
2020-06-27,246,2.0
2020-06-28,250,2.0
2020-06-29,256,2.0
2020-06-30,261,2.0
2020-07-01,270,2.0
2020-07-02,282,2.0
2020-07-03,286,2.0
2020-07-04,287,2.0
2020-07-05,288,2.0
2020-07-06,292,2.0
2020-07-07,298,3.0
2020-07-08,302,3.0
2020-07-09,307,3.0
2020-07-10,310,3.0
2020-07-11,323,3.0
2020-07-12,329,3.0
2020-07-13,338,3.0
2020-07-14,352,3.0
2020-07-15,357,3.0
2020-07-16,359,3.0
2020-07-17,367,3.0
2020-07-18,372,3.0
2020-07-19,373,3.0
2020-07-20,383,3.0
2020-07-21,388,3.0
2020-07-22,392,3.0
2020-07-23,400,3.0
2020-07-24,409,3.0
2020-07-25,412,3.0
2020-07-26,415,3.0
2020-07-27,422,3.0
2020-07-28,432,3.0
2020-07-29,442,3.0
2020-07-30,449,3.0
2020-07-31,456,3.0
2020-08-01,462,3.0
2020-08-02,473,3.0
2020-08-03,479,3.0
2020-08-04,484,3.0
2020-08-05,489,3.0
2020-08-06,492,3.0
2020-08-07,496,3.0
2020-08-08,498,3.0
2020-08-09,502,3.0
2020-08-10,495,3.0
2020-08-11,500,3.0
2020-08-12,504,3.0
2020-08-13,509,3.0
2020-08-14,512,3.0
2020-08-15,512,3.0
2020-08-16,517,3.0
2020-08-17,523,3.0
2020-08-18,528,3.0
2020-08-19,533,3.0
2020-08-20,534,3.0
2020-08-21,538,4.0
2020-08-22,539,4.0
2020-08-23,541,4.0
2020-08-24,545,4.0
2020-08-25,552,4.0
2020-08-26,560,4.0
2020-08-27,563,4.0
2020-08-28,563,4.0
2020-08-29,563,4.0
2020-08-30,568,4.0
2020-08-31,570,4.0
2020-09-01,572,4.0
2020-09-02,577,4.0
2020-09-03,580,4.0
2020-09-04,583,4.0
2020-09-05,583,4.0
2020-09-06,587,4.0
2020-09-07,587,4.0
2020-09-08,592,4.0
2020-09-09,597,4.0
2020-09-10,603,4.0
2020-09-11,616,4.0
2020-09-12,619,4.0
2020-09-13,624,4.0
2020-09-14,624,4.0
2020-09-15,627,4.0
2020-09-16,631,4.0
2020-09-17,635,4.0
2020-09-18,638,4.0
2020-09-19,641,4.0
2020-09-20,647,4.0
2020-09-21,652,4.0
2020-09-22,654,4.0
2020-09-23,661,4.0
2020-09-24,672,4.0
2020-09-25,678,4.0
2020-09-26,680,4.0
2020-09-27,695,4.0
2020-09-28,704,4.0
2020-09-29,707,4.0
2020-09-30,718,4.0
2020-10-01,725,4.0
2020-10-02,741,4.0
2020-10-03,754,4.0
2020-10-04,769,4.0
2020-10-05,784,4.0
2020-10-06,808,4.0
2020-10-07,831,4.0
2020-10-08,863,4.0
2020-10-09,893,4.0
2020-10-10,918,4.0
2020-10-11,938,4.0
2020-10-12,960,4.0
2020-10-13,992,4.0
2020-10-14,1037,4.0
2020-10-15,1084,4.0
2020-10-16,1110,4.0
2020-10-17,1133,4.0
2020-10-18,1155,4.0
2020-10-19,1188,4.0
2020-10-20,1227,4.0
2020-10-21,1280,4.0
2020-10-22,1308,5.0
2020-10-23,1366,4.0
2020-10-24,1407,4.0
2020-10-25,1435,5.0
2020-10-26,1487,6.0
2020-10-27,1553,6.0
2020-10-28,1595,6.0
2020-10-29,1656,7.0
2020-10-30,1745,7.0
2020-10-31,1808,7.0
2020-11-01,1860,7.0
2020-11-02,1942,7.0
2020-11-03,2031,7.0
2020-11-04,2086,8.0
2020-11-05,2147,8.0
2020-11-06,2249,8.0
2020-11-07,2287,8.0
2020-11-08,2342,9.0
2020-11-09,2506,9.0
2020-11-10,2744,14.0
2020-11-11,2755,14.0
2020-11-12,2971,14.0
2020-11-13,3104,14.0
2020-11-14,3159,15.0
2020-11-15,3264,15.0
2020-11-16,3434,15.0
2020-11-17,3565,15.0
2020-11-18,3627,15.0
2020-11-19,3855,18.0
2020-11-20,4006,18.0
2020-11-21,4071,18.0
2020-11-22,4177,18.0
2020-11-23,4423,21.0
2020-11-24,4466,21.0
2020-11-25,4649,23.0
2020-11-26,4649,23.0
2020-11-27,4769,23.0
2020-11-28,4794,23.0
2020-11-29,4984,23.0
2020-11-30,5150,23.0
2020-12-01,5290,26.0
2020-12-02,5457,26.0
2020-12-03,5555,28.0
2020-12-04,5682,28.0
2020-12-05,5703,28.0
2020-12-06,5763,28.0
2020-12-07,5896,33.0
2020-12-08,6073,33.0
2020-12-09,6151,35.0
2020-12-10,6201,35.0
2020-12-11,6298,41.0
2020-12-12,6312,41.0
2020-12-13,6397,41.0
2020-12-14,6458,41.0
2020-12-15,6510,43.0
2020-12-16,6547,43.0
2020-12-17,6566,47.0
2020-12-18,6629,47.0
2020-12-19,6640,47.0
2020-12-20,6679,47.0
2020-12-21,6737,47.0
2020-12-22,6781,51.0
2020-12-23,6807,51.0
2020-12-24,6807,51.0
2020-12-25,6807,51.0
2020-12-26,6863,51.0
2020-12-27,6874,51.0
2020-12-28,6951,55.0
2020-12-29,6991,55.0
2020-12-30,7012,55.0
2020-12-31,7045,62.0
2021-01-01,7045,62.0
2021-01-02,7060,62.0
2021-01-03,7098,62.0
2021-01-04,7188,62.0
2021-01-05,7251,65.0
2021-01-06,7302,65.0
2021-01-07,7345,65.0
2021-01-08,7397,65.0
2021-01-09,7413,65.0
2021-01-10,7429,65.0
2021-01-11,7497,65.0
2021-01-12,7582,75.0
2021-01-13,7604,75.0
2021-01-14,7671,75.0
2021-01-15,7706,75.0
2021-01-16,7728,75.0
2021-01-17,7754,75.0
2021-01-18,7789,75.0
2021-01-19,7813,78.0
2021-01-20,7848,78.0
2021-01-21,7871,78.0
2021-01-22,7885,83.0
2021-01-23,7885,83.0
2021-01-24,7910,83.0
2021-01-25,7933,83.0
2021-01-26,7939,87.0
2021-01-27,7957,87.0
2021-01-28,7959,87.0
2021-01-29,7984,87.0
2021-01-30,7984,87.0
2021-01-31,7995,87.0
2021-02-01,8002,87.0
2021-02-02,8002,93.0
2021-02-03,8010,93.0
2021-02-04,8019,93.0
2021-02-05,8032,93.0
2021-02-06,8030,93.0
2021-02-07,8025,93.0
2021-02-08,8037,93.0
2021-02-09,8039,99.0
2021-02-10,8043,100.0
2021-02-11,8052,100.0
2021-02-12,8059,100.0
2021-02-13,8059,100.0
2021-02-14,8068,100.0
2021-02-15,8068,100.0
