date,cases,deaths
2020-03-02,2,0
2020-03-03,2,0
2020-03-04,2,0
2020-03-05,2,0
2020-03-06,3,0
2020-03-07,7,0
2020-03-08,11,0
2020-03-09,17,0
2020-03-10,22,0
2020-03-11,31,0
2020-03-12,31,1
2020-03-13,41,1
2020-03-14,65,1
2020-03-15,97,1
2020-03-16,118,1
2020-03-17,142,1
2020-03-18,193,3
2020-03-19,282,10
2020-03-20,482,14
2020-03-21,552,20
2020-03-22,620,25
2020-03-23,800,25
2020-03-24,1095,38
2020-03-25,1385,47
2020-03-26,1641,56
2020-03-27,2198,64
2020-03-28,2447,79
2020-03-29,2683,83
2020-03-30,3032,103
2020-03-31,4116,126
2020-04-01,4747,154
2020-04-02,5444,176
2020-04-03,5967,198
2020-04-04,6383,208
2020-04-05,6742,219
2020-04-06,7558,294
2020-04-07,9156,348
2020-04-08,10204,370
2020-04-09,10885,412
2020-04-10,11859,425
2020-04-11,12261,432
2020-04-12,12103,438
2020-04-13,13125,479
2020-04-14,13913,517
2020-04-15,14583,569
2020-04-16,15644,611
2020-04-17,16658,661
2020-04-18,17014,670
2020-04-19,17619,682
2020-04-20,18447,767
2020-04-21,19189,810
2020-04-22,20099,837
2020-04-23,20905,871
2020-04-24,21575,889
2020-04-25,22225,897
2020-04-26,22459,907
2020-04-27,23229,981
2020-04-28,23607,1022
2020-04-29,24300,1086
2020-04-30,25431,1121
2020-05-01,26436,1153
2020-05-02,27268,1161
2020-05-03,27618,1168
2020-05-04,28350,1228
2020-05-05,28876,1277
2020-05-06,29724,1309
2020-05-07,30524,1332
2020-05-08,31089,1378
2020-05-09,31481,1380
2020-05-10,32267,1383
2020-05-11,32448,1420
2020-05-12,33311,1470
2020-05-13,33866,1494
2020-05-14,34422,1521
2020-05-15,35242,1563
2020-05-16,35655,1573
2020-05-17,35954,1584
2020-05-18,36634,1624
2020-05-19,37214,1650
2020-05-20,38162,1672
2020-05-21,38969,1749
2020-05-22,39734,1779
2020-05-23,40408,1794
2020-05-24,40989,1799
2020-05-25,41414,1820
2020-05-26,42066,1867
2020-05-27,42713,1904
2020-05-28,43363,1942
2020-05-29,43888,1953
2020-05-30,44336,1973
2020-05-31,45051,2019
2020-06-01,45757,2057
2020-06-02,46063,2070
2020-06-03,46711,2092
2020-06-04,47528,2116
2020-06-05,48280,2143
2020-06-06,48943,2147
2020-06-07,49371,2148
2020-06-08,49995,2176
2020-06-09,50769,2250
2020-06-10,51465,2292
2020-06-11,52332,2337
2020-06-12,53201,2384
2020-06-13,54178,2411
2020-06-14,54874,2416
2020-06-15,55505,2457
2020-06-16,56302,2492
2020-06-17,57217,2536
2020-06-18,58040,2565
2020-06-19,59117,2596
2020-06-20,60669,2602
2020-06-21,61493,2603
2020-06-22,62705,2607
2020-06-23,64577,2646
2020-06-24,66290,2658
2020-06-25,67796,2704
2020-06-26,69542,2727
2020-06-27,71066,2733
2020-06-28,72800,2735
2020-06-29,74816,2739
2020-06-30,77280,2758
2020-07-01,79589,2779
2020-07-02,82475,2801
2020-07-03,85079,2808
2020-07-04,87592,2809
2020-07-05,89489,2812
2020-07-06,91015,2829
2020-07-07,93707,2850
2020-07-08,96538,2871
2020-07-09,98693,2880
2020-07-10,103597,2915
2020-07-11,106574,2946
2020-07-12,108389,2951
2020-07-13,111937,2972
2020-07-14,114579,2996
2020-07-15,118147,3030
2020-07-16,120848,3043
2020-07-17,124267,3071
2020-07-18,128341,3105
2020-07-19,130794,3110
2020-07-20,132788,3113
2020-07-21,135865,3186
2020-07-22,139120,3264
2020-07-23,143857,3288
2020-07-24,147732,3368
2020-07-25,151262,3421
2020-07-26,153476,3424
2020-07-27,155907,3435
2020-07-28,160038,3488
2020-07-29,163547,3566
2020-07-30,167545,3596
2020-07-31,171342,3674
2020-08-01,174834,3744
2020-08-02,177556,3758
2020-08-03,179510,3760
