date,cases,deaths
2020-03-13,4,0
2020-03-14,6,0
2020-03-15,6,0
2020-03-16,8,0
2020-03-17,8,0
2020-03-18,12,0
2020-03-19,19,0
2020-03-20,19,0
2020-03-21,29,0
2020-03-22,34,0
2020-03-23,45,0
2020-03-24,51,0
2020-03-25,65,0
2020-03-26,90,0
2020-03-27,121,1
2020-03-28,147,1
2020-03-29,161,1
2020-03-30,177,4
2020-03-31,198,5
2020-04-01,217,5
2020-04-02,241,5
2020-04-03,262,5
2020-04-04,281,6
2020-04-05,298,6
2020-04-06,319,6
2020-04-07,319,6
2020-04-08,332,6
2020-04-09,354,6
2020-04-10,365,6
2020-04-11,377,6
2020-04-12,387,6
2020-04-13,394,7
2020-04-14,399,7
2020-04-15,404,7
2020-04-16,415,7
2020-04-17,422,8
2020-04-18,426,10
2020-04-19,433,10
2020-04-20,433,12
2020-04-21,437,12
2020-04-22,439,14
2020-04-23,442,14
2020-04-24,444,14
2020-04-25,445,14
2020-04-26,448,14
2020-04-27,449,14
2020-04-28,451,15
2020-04-29,451,16
2020-04-30,452,16
2020-05-01,452,16
2020-05-02,454,16
2020-05-03,454,16
2020-05-04,456,16
2020-05-05,456,16
2020-05-06,456,16
2020-05-07,456,16
2020-05-08,458,16
2020-05-09,458,16
2020-05-10,458,16
2020-05-11,459,16
2020-05-12,461,16
2020-05-13,462,16
2020-05-14,462,16
2020-05-15,466,16
2020-05-16,468,16
2020-05-17,468,16
2020-05-18,470,16
2020-05-19,471,16
2020-05-20,478,16
2020-05-21,479,16
2020-05-22,479,16
2020-05-23,479,16
2020-05-24,479,16
2020-05-25,479,16
2020-05-26,479,17
2020-05-27,481,17
2020-05-28,485,17
