date,cases,deaths
2020-03-06,2,0
2020-03-07,2,0
2020-03-08,6,0
2020-03-09,7,0
2020-03-10,9,0
2020-03-11,10,0
2020-03-12,12,0
2020-03-13,13,0
2020-03-14,19,0
2020-03-15,28,0
2020-03-16,33,1
2020-03-17,47,1
2020-03-18,60,1
2020-03-19,81,1
2020-03-20,126,3
2020-03-21,172,3
2020-03-22,194,3
2020-03-23,299,5
2020-03-24,342,7
2020-03-25,424,7
2020-03-26,456,9
2020-03-27,539,13
2020-03-28,660,15
2020-03-29,774,16
2020-03-30,925,18
2020-03-31,1083,22
2020-04-01,1293,26
2020-04-02,1554,31
2020-04-03,1700,34
2020-04-04,1917,40
2020-04-05,2049,44
2020-04-06,2232,48
2020-04-07,2417,51
2020-04-08,2552,63
2020-04-09,2792,67
2020-04-10,3065,72
2020-04-11,3207,80
2020-04-12,3319,82
2020-04-13,3439,87
2020-04-14,3553,97
2020-04-15,3656,107
2020-04-16,3931,109
2020-04-17,4086,116
2020-04-18,4246,119
2020-04-19,4377,120
2020-04-20,4439,124
2020-04-21,4608,135
2020-04-22,4761,140
2020-04-23,4917,150
2020-04-24,5070,157
2020-04-25,5253,166
2020-04-26,5490,174
2020-04-27,5613,177
2020-04-28,5735,192
2020-04-29,5881,232
2020-04-30,6095,244
2020-05-01,6258,256
2020-05-02,6489,267
2020-05-03,6626,275
2020-05-04,6757,283
2020-05-05,6841,296
2020-05-06,6936,305
2020-05-07,7142,316
2020-05-08,7367,320
2020-05-09,7531,330
2020-05-10,7653,331
2020-05-11,7792,346
2020-05-12,7927,355
2020-05-13,8030,362
2020-05-14,8189,371
2020-05-15,8407,380
2020-05-16,8661,380
2020-05-17,8816,385
2020-05-18,8942,391
2020-05-19,9056,399
2020-05-20,9175,407
2020-05-21,9379,416
2020-05-22,9638,419
2020-05-23,9895,425
2020-05-24,10096,435
2020-05-25,10178,440
2020-05-26,10416,446
2020-05-27,10623,466
2020-05-28,10788,470
2020-05-29,11131,483
2020-05-30,11394,487
2020-05-31,11861,494
2020-06-01,12148,500
2020-06-02,12415,501
2020-06-03,12651,518
2020-06-04,13005,525
2020-06-05,13453,538
2020-06-06,13916,545
2020-06-07,14286,546
2020-06-08,14800,557
2020-06-09,15228,568
2020-06-10,15759,575
2020-06-11,16441,588
2020-06-12,17170,593
2020-06-13,17955,599
2020-06-14,18796,600
2020-06-15,19381,602
2020-06-16,19995,607
2020-06-17,20556,617
2020-06-18,21548,621
2020-06-19,22631,639
2020-06-20,23786,644
2020-06-21,24693,653
2020-06-22,25701,659
